rebalance_date,ticker,weight,estimation_start,estimation_end,solver_success,solver_message,asset_class,fund_id,fund_name,family,method
2021-01-04,ABBV,0.02,2020-01-03,2020-12-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-02-01,ABBV,0.02,2020-01-31,2021-01-29,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-03-01,ABBV,0.02,2020-02-28,2021-02-26,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-04-01,ABBV,0.02,2020-04-01,2021-03-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-05-03,ABBV,0.02,2020-05-01,2021-04-30,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-06-01,ABBV,0.02,2020-06-01,2021-05-28,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-07-01,ABBV,0.02,2020-07-01,2021-06-30,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-08-02,ABBV,0.02,2020-07-31,2021-07-30,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-09-01,ABBV,0.02,2020-09-01,2021-08-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-10-01,ABBV,0.02,2020-10-01,2021-09-30,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-11-01,ABBV,0.02,2020-10-30,2021-10-29,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2021-12-01,ABBV,0.02,2020-12-01,2021-11-30,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-01-03,ABBV,0.02,2021-01-04,2021-12-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-02-01,ABBV,0.02,2021-02-02,2022-01-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-03-01,ABBV,0.02,2021-03-02,2022-02-28,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-04-01,ABBV,0.02,2021-04-05,2022-03-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-05-02,ABBV,0.02,2021-05-03,2022-04-29,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-06-01,ABBV,0.02,2021-06-02,2022-05-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-07-01,ABBV,0.02,2021-07-01,2022-06-30,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-08-01,ABBV,0.02,2021-07-30,2022-07-29,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
2022-09-01,ABBV,0.02,2021-09-01,2022-08-31,True,closed-form equal weight,Equity,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight
