date,horizon_days,cross_section_size,spearman_ic,high_sentiment_return,low_sentiment_return,high_minus_low_return
2021-01-04,1,46,-0.15917360468701816,-0.019470090765575498,-0.011723585577049223,-0.007746505188526275
2021-01-05,1,46,-0.23219241443108235,0.004879659066596731,0.028825208319007516,-0.023945549252410783
2021-01-06,1,46,-0.11218008017267961,0.007323432791550033,0.011376677723305282,-0.004053244931755249
2021-01-07,1,46,-0.018439716312056736,0.012492296291691518,0.016850430066529136,-0.004358133774837618
2021-01-08,1,46,0.20986740672217083,0.011230514541658455,0.0010197345223578304,0.010210780019300624
2021-01-11,1,46,-0.1288313290163429,-0.0018786037073608153,-0.0005486460207814057,-0.0013299576865794095
2021-01-12,1,46,-0.25254394079555964,-0.0009438635413405838,0.02788857988251915,-0.028832443423859735
2021-01-13,1,46,0.05642923219241443,-0.000429380391057943,-2.5576037611145058e-05,-0.00040380435344679794
2021-01-14,1,46,-0.3222325007708911,-0.004457937043235549,0.008111777724768034,-0.012569714768003584
2021-01-15,1,46,0.09269195189639222,-0.015337430444439526,-0.01965078140722702,0.004313350962787493
2021-01-19,1,45,-0.0380764163372859,0.004551022983610579,0.004303483220146447,0.00024753976346413194
2021-01-20,1,45,0.07233201581027668,0.01097433908204991,0.005697634193319639,0.005276704888730271
2021-01-21,1,46,0.11575701510946655,-0.006725296579360729,-0.011023609346745475,0.0042983127673847455
2021-01-22,1,46,0.00018501387604070305,-0.004606422792169373,-0.003725224037497976,-0.0008811987546713971
2021-01-25,1,45,0.35823451910408427,0.010118016293793485,-0.005838085020030964,0.01595610131382445
2021-01-26,1,45,0.0662714097496706,-0.004049869789624096,-0.009281273664930971,0.005231403875306875
2021-01-27,1,46,-0.04878199198273204,-0.021664315461332607,-0.019062855561518703,-0.0026014598998139044
2021-01-28,1,47,0.05816373728029602,0.011557005038856705,0.01137525594908759,0.00018174908976911416
2021-01-29,1,47,-0.021160962072155412,-0.018666302326215977,-0.02094519077810629,0.002278888451890313
2021-02-01,1,48,-0.24674337820234477,-0.0023222389285020516,0.012233436410822775,-0.014555675339324827
2021-02-02,1,48,0.03234910985670864,0.015431302596650587,0.021437967103625902,-0.006006664506975314
2021-02-03,1,48,-0.0034737299174989146,0.0037046672464512544,0.014868499332492716,-0.01116383208604146
2021-02-04,1,48,-0.017694311767260096,0.0023706471883539804,0.008766440910968244,-0.006395793722614264
2021-02-05,1,48,-0.12624837168910116,0.005561365960866926,0.010805710961371161,-0.005244345000504235
2021-02-08,1,47,-0.22756706753006475,0.006521421715460207,0.011593701027882437,-0.00507227931242223
2021-02-09,1,48,-0.04548415110725141,-0.006506425356465917,-0.00112022889246324,-0.005386196464002678
2021-02-10,1,48,0.027572731220147632,0.0013723684705473694,0.0019217957972722398,-0.0005494273267248704
2021-02-11,1,48,0.15577507598784196,-0.0006177557969823999,-0.005670305676923381,0.005052549879940981
